pclass,survived,name,gender,age,fare,embarked
1,0,"Fry, Mr. Richard",male,29.8811345124283,0.0,S
1,0,"Futrelle, Mr. Jacques Heath",male,37.0,53.1,S
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,53.1,S
1,0,"Gee, Mr. Arthur H",male,47.0,38.5,S
1,1,"Geiger, Miss. Amalie",female,35.0,211.5,C
1,1,"Gibson, Miss. Dorothy Winifred",female,22.0,59.4,C
1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,59.4,C
1,0,"Giglio, Mr. Victor",male,24.0,79.2,C
1,1,"Goldenberg, Mr. Samuel L",male,49.0,89.1,C
1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,29.8811345124283,89.1,C
1,0,"Goldschmidt, Mr. George B",male,71.0,34.65,C
1,1,"Gracie, Col. Archibald IV",male,53.0,28.5,C
1,1,"Graham, Miss. Margaret Edith",female,19.0,30.0,S
1,0,"Graham, Mr. George Edward",male,38.0,153.46,S
1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,153.46,S
1,1,"Greenfield, Mr. William Bertram",male,23.0,63.36,C
1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,63.36,C
1,0,"Guggenheim, Mr. Benjamin",male,46.0,79.2,C
1,1,"Harder, Mr. George Achilles",male,25.0,55.44,C
1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,25.0,55.44,C
1,1,"Harper, Mr. Henry Sleeper",male,48.0,76.73,C
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,76.73,C
1,0,"Harrington, Mr. Charles H",male,29.8811345124283,42.4,S
1,0,"Harris, Mr. Henry Birkhardt",male,45.0,83.48,S
1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,83.48,S
1,0,"Harrison, Mr. William",male,40.0,0.0,S
1,1,"Hassab, Mr. Hammad",male,27.0,76.73,C
1,1,"Hawksford, Mr. Walter James",male,29.8811345124283,30.0,S
1,1,"Hays, Miss. Margaret Bechstein",female,24.0,83.16,C
1,0,"Hays, Mr. Charles Melville",male,55.0,93.5,S
1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,93.5,S
1,0,"Head, Mr. Christopher",male,42.0,42.5,S
1,0,"Hilliard, Mr. Herbert Henry",male,29.8811345124283,51.86,S
1,0,"Hipkins, Mr. William Edward",male,55.0,50.0,S
1,1,"Hippach, Miss. Jean Gertrude",female,16.0,57.98,C
1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,57.98,C
1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51.0,77.96,S
1,0,"Holverson, Mr. Alexander Oskar",male,42.0,52.0,S
1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,52.0,S
1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,26.55,C
1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,90.0,S
1,0,"Hoyt, Mr. William Fisher",male,29.8811345124283,30.7,C
1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,90.0,S
1,1,"Icard, Miss. Amelie",female,38.0,80.0,S
1,0,"Isham, Miss. Ann Elizabeth",female,50.0,28.71,C
1,1,"Ismay, Mr. Joseph Bruce",male,49.0,0.0,S
1,0,"Jones, Mr. Charles Cresson",male,46.0,26.0,S
1,0,"Julian, Mr. Henry Forbes",male,50.0,26.0,S
1,0,"Keeping, Mr. Edwin",male,32.5,211.5,C
1,0,"Kent, Mr. Edward Austin",male,58.0,29.7,C
1,0,"Kenyon, Mr. Frederick R",male,41.0,51.86,S
1,1,"Kenyon, Mrs. Frederick R (Marion)",female,29.8811345124283,51.86,S
1,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,52.55,S
1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45.0,52.55,S
1,0,"Klaber, Mr. Herman",male,29.8811345124283,26.55,S
1,1,"Kreuchen, Miss. Emilie",female,39.0,211.34,S
1,1,"Leader, Dr. Alice (Farnham)",female,49.0,25.93,S
1,1,"LeRoy, Miss. Bertha",female,30.0,106.43,C
1,1,"Lesurer, Mr. Gustave J",male,35.0,512.33,C
1,0,"Lewy, Mr. Ervin G",male,29.8811345124283,27.72,C
1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,42.0,26.55,S
1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55.0,27.72,C
1,1,"Lines, Miss. Mary Conover",female,16.0,39.4,S
1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,39.4,S
1,0,"Long, Mr. Milton Clyde",male,29.0,30.0,S
1,1,"Longley, Miss. Gretchen Fiske",female,21.0,77.96,S
1,0,"Loring, Mr. Joseph Holland",male,30.0,45.5,S
1,1,"Lurette, Miss. Elise",female,58.0,146.52,C
1,1,"Madill, Miss. Georgette Alexandra",female,15.0,211.34,S
1,0,"Maguire, Mr. John Edward",male,30.0,26.0,S
1,1,"Maioni, Miss. Roberta",female,16.0,86.5,S
1,1,"Marechal, Mr. Pierre",male,29.8811345124283,29.7,C
1,0,"Marvin, Mr. Daniel Warner",male,19.0,53.1,S
1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18.0,53.1,S
1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,49.5,C
1,0,"McCaffry, Mr. Thomas Francis",male,46.0,75.24,C
1,0,"McCarthy, Mr. Timothy J",male,54.0,51.86,S
1,1,"McGough, Mr. James Robert",male,36.0,26.29,S
1,0,"Meyer, Mr. Edgar Joseph",male,28.0,82.17,C
1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,29.8811345124283,82.17,C
1,0,"Millet, Mr. Francis Davis",male,65.0,26.55,S
1,0,"Minahan, Dr. William Edward",male,44.0,90.0,Q
1,1,"Minahan, Miss. Daisy E",female,33.0,90.0,Q
1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,90.0,Q
1,1,"Mock, Mr. Philipp Edmund",male,30.0,57.75,C
1,0,"Molson, Mr. Harry Markland",male,55.0,30.5,S
1,0,"Moore, Mr. Clarence Bloomfield",male,47.0,42.4,S
1,0,"Natsch, Mr. Charles H",male,37.0,29.7,C
1,1,"Newell, Miss. Madeleine",female,31.0,113.28,C
1,1,"Newell, Miss. Marjorie",female,23.0,113.28,C
1,0,"Newell, Mr. Arthur Webster",male,58.0,113.28,C
1,1,"Newsom, Miss. Helen Monypeny",female,19.0,26.28,S
1,0,"Nicholson, Mr. Arthur Ernest",male,64.0,26.0,S
1,1,"Oliva y Ocana, Dona. Fermina",female,39.0,108.9,C
1,1,"Omont, Mr. Alfred Fernand",male,29.8811345124283,25.74,C
1,1,"Ostby, Miss. Helene Ragnhild",female,22.0,61.98,C
1,0,"Ostby, Mr. Engelhart Cornelius",male,65.0,61.98,C
1,0,"Ovies y Rodriguez, Mr. Servando",male,28.5,27.72,C
1,0,"Parr, Mr. William Henry Marsh",male,29.8811345124283,0.0,S
1,0,"Partner, Mr. Austen",male,45.5,28.5,S
1,0,"Payne, Mr. Vivian Ponsonby",male,23.0,93.5,S
1,0,"Pears, Mr. Thomas Clinton",male,29.0,66.6,S
1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,66.6,S
1,0,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,108.9,C
1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,108.9,C
1,1,"Perreault, Miss. Anne",female,30.0,93.5,S
1,1,"Peuchen, Major. Arthur Godfrey",male,52.0,30.5,S
1,0,"Porter, Mr. Walter Chamberlain",male,47.0,52.0,S
1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56.0,83.16,C
1,0,"Reuchlin, Jonkheer. John George",male,38.0,0.0,S
1,1,"Rheims, Mr. George Alexander Lucien",male,29.8811345124283,39.6,S
1,0,"Ringhini, Mr. Sante",male,22.0,135.63,C
1,0,"Robbins, Mr. Victor",male,29.8811345124283,227.53,C
1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43.0,211.34,S
1,0,"Roebling, Mr. Washington Augustus II",male,31.0,50.5,S
1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,26.55,S
1,0,"Rood, Mr. Hugh Roscoe",male,29.8811345124283,50.0,S
1,1,"Rosenbaum, Miss. Edith Louise",female,33.0,27.72,C
1,0,"Rosenshine, Mr. George (""Mr George Thorne"")",male,46.0,79.2,C
1,0,"Ross, Mr. John Hugo",male,36.0,40.13,C
1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33.0,86.5,S
1,0,"Rothschild, Mr. Martin",male,55.0,59.4,C
1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54.0,59.4,C
1,0,"Rowe, Mr. Alfred G",male,33.0,26.55,S
1,1,"Ryerson, Master. John Borie",male,13.0,262.38,C
1,1,"Ryerson, Miss. Emily Borie",female,18.0,262.38,C
1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,21.0,262.38,C
1,0,"Ryerson, Mr. Arthur Larned",male,61.0,262.38,C
1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,48.0,262.38,C
1,1,"Saalfeld, Mr. Adolphe",male,29.8811345124283,30.5,S
1,1,"Sagesser, Mlle. Emma",female,24.0,69.3,C
1,1,"Salomon, Mr. Abraham L",male,29.8811345124283,26.0,S
1,1,"Schabert, Mrs. Paul (Emma Mock)",female,35.0,57.75,C
1,1,"Serepeca, Miss. Augusta",female,30.0,31.0,C
1,1,"Seward, Mr. Frederic Kimber",male,34.0,26.55,S
1,1,"Shutes, Miss. Elizabeth W",female,40.0,153.46,S
1,1,"Silverthorne, Mr. Spencer Victor",male,35.0,26.29,S
1,0,"Silvey, Mr. William Baird",male,50.0,55.9,S
1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,39.0,55.9,S
1,1,"Simonius-Blumer, Col. Oberst Alfons",male,56.0,35.5,C
1,1,"Sloper, Mr. William Thompson",male,28.0,35.5,S
1,0,"Smart, Mr. John Montgomery",male,56.0,26.55,S
1,0,"Smith, Mr. James Clinch",male,56.0,30.7,C
1,0,"Smith, Mr. Lucien Philip",male,24.0,60.0,S
1,0,"Smith, Mr. Richard William",male,29.8811345124283,26.0,S
1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",female,18.0,60.0,S
1,1,"Snyder, Mr. John Pillsbury",male,24.0,82.27,S
1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,23.0,82.27,S
1,1,"Spedden, Master. Robert Douglas",male,6.0,134.5,C
1,1,"Spedden, Mr. Frederic Oakley",male,45.0,134.5,C
1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,134.5,C
1,0,"Spencer, Mr. William Augustus",male,57.0,146.52,C
1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,29.8811345124283,146.52,C
1,1,"Stahelin-Maeglin, Dr. Max",male,32.0,30.5,C
1,0,"Stead, Mr. William Thomas",male,62.0,26.55,S
1,1,"Stengel, Mr. Charles Emil Henry",male,54.0,55.44,C
1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,43.0,55.44,C
1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52.0,78.27,C
1,0,"Stewart, Mr. Albert A",male,29.8811345124283,27.72,C
1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62.0,80.0,C
1,0,"Straus, Mr. Isidor",male,67.0,221.78,S
1,0,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,63.0,221.78,S
1,0,"Sutton, Mr. Frederick",male,61.0,32.32,S
1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48.0,25.93,S
1,1,"Taussig, Miss. Ruth",female,18.0,79.65,S
1,0,"Taussig, Mr. Emil",male,52.0,79.65,S
1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39.0,79.65,S
1,1,"Taylor, Mr. Elmer Zebley",male,48.0,52.0,S
1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,29.8811345124283,52.0,S
1,0,"Thayer, Mr. John Borland",male,49.0,110.88,C
1,1,"Thayer, Mr. John Borland Jr",male,17.0,110.88,C
1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39.0,110.88,C
1,1,"Thorne, Mrs. Gertrude Maybelle",female,29.8811345124283,79.2,C
1,1,"Tucker, Mr. Gilbert Milligan Jr",male,31.0,28.54,C
1,0,"Uruchurtu, Don. Manuel E",male,40.0,27.72,C
1,0,"Van der hoef, Mr. Wyckoff",male,61.0,33.5,S
1,0,"Walker, Mr. William Anderson",male,47.0,34.02,S
1,1,"Ward, Miss. Anna",female,35.0,512.33,C
1,0,"Warren, Mr. Frank Manley",male,64.0,75.25,C
1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,75.25,C
1,0,"Weir, Col. John",male,60.0,26.55,S
1,0,"White, Mr. Percival Wayland",male,54.0,77.29,S
1,0,"White, Mr. Richard Frasar",male,21.0,77.29,S
1,1,"White, Mrs. John Stuart (Ella Holmes)",female,55.0,135.63,C
1,1,"Wick, Miss. Mary Natalie",female,31.0,164.87,S
1,0,"Wick, Mr. George Dennick",male,57.0,164.87,S
1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45.0,164.87,S
1,0,"Widener, Mr. George Dunton",male,50.0,211.5,C
1,0,"Widener, Mr. Harry Elkins",male,27.0,211.5,C
1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,50.0,211.5,C
1,1,"Willard, Miss. Constance",female,21.0,26.55,S
1,0,"Williams, Mr. Charles Duane",male,51.0,61.38,C
1,1,"Williams, Mr. Richard Norris II",male,21.0,61.38,C
1,0,"Williams-Lambert, Mr. Fletcher Fellows",male,29.8811345124283,35.0,S
1,1,"Wilson, Miss. Helen Alice",female,31.0,134.5,C
1,1,"Woolner, Mr. Hugh",male,29.8811345124283,35.5,S
1,0,"Wright, Mr. George",male,62.0,26.55,S
1,1,"Young, Miss. Marie Grice",female,36.0,135.63,C
2,0,"Abelson, Mr. Samuel",male,30.0,24.0,C
2,1,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28.0,24.0,C
2,0,"Aldworth, Mr. Charles Augustus",male,30.0,13.0,S
2,0,"Andrew, Mr. Edgardo Samuel",male,18.0,11.5,S
2,0,"Andrew, Mr. Frank Thomas",male,25.0,10.5,S
2,0,"Angle, Mr. William A",male,34.0,26.0,S
2,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36.0,26.0,S
2,0,"Ashby, Mr. John",male,57.0,13.0,S
2,0,"Bailey, Mr. Percy Andrew",male,18.0,11.5,S
2,0,"Baimbrigge, Mr. Charles Robert",male,23.0,10.5,S
2,1,"Ball, Mrs. (Ada E Hall)",female,36.0,13.0,S
2,0,"Banfield, Mr. Frederick James",male,28.0,10.5,S
2,0,"Bateman, Rev. Robert James",male,51.0,12.53,S
2,1,"Beane, Mr. Edward",male,32.0,26.0,S
2,1,"Beane, Mrs. Edward (Ethel Clarke)",female,19.0,26.0,S
2,0,"Beauchamp, Mr. Henry James",male,28.0,26.0,S
2,1,"Becker, Master. Richard F",male,1.0,39.0,S
2,1,"Becker, Miss. Marion Louise",female,4.0,39.0,S
2,1,"Becker, Miss. Ruth Elizabeth",female,12.0,39.0,S
2,1,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36.0,39.0,S
2,1,"Beesley, Mr. Lawrence",male,34.0,13.0,S
2,1,"Bentham, Miss. Lilian W",female,19.0,13.0,S
2,0,"Berriman, Mr. William John",male,23.0,13.0,S
2,0,"Botsford, Mr. William Hull",male,26.0,13.0,S
2,0,"Bowenur, Mr. Solomon",male,42.0,13.0,S
2,0,"Bracken, Mr. James H",male,27.0,13.0,S
2,1,"Brown, Miss. Amelia ""Mildred""",female,24.0,13.0,S
2,1,"Brown, Miss. Edith Eileen",female,15.0,39.0,S
2,0,"Brown, Mr. Thomas William Solomon",male,60.0,39.0,S
2,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40.0,39.0,S
2,1,"Bryhl, Miss. Dagmar Jenny Ingeborg ",female,20.0,26.0,S
2,0,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,26.0,S
2,1,"Buss, Miss. Kate",female,36.0,13.0,S
2,0,"Butler, Mr. Reginald Fenton",male,25.0,13.0,S
2,0,"Byles, Rev. Thomas Roussel Davids",male,42.0,13.0,S
2,1,"Bystrom, Mrs. (Karolina)",female,42.0,13.0,S
2,1,"Caldwell, Master. Alden Gates",male,0.8333,29.0,S
2,1,"Caldwell, Mr. Albert Francis",male,26.0,29.0,S
2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,29.0,S
2,1,"Cameron, Miss. Clear Annie",female,35.0,21.0,S
2,0,"Campbell, Mr. William",male,29.8811345124283,0.0,S
2,0,"Carbines, Mr. William",male,19.0,13.0,S
2,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44.0,26.0,S
2,0,"Carter, Rev. Ernest Courtenay",male,54.0,26.0,S
2,0,"Chapman, Mr. Charles Henry",male,52.0,13.5,S
2,0,"Chapman, Mr. John Henry",male,37.0,26.0,S
2,0,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29.0,26.0,S
2,1,"Christy, Miss. Julie Rachel",female,25.0,30.0,S
2,1,"Christy, Mrs. (Alice Frances)",female,45.0,30.0,S
2,0,"Clarke, Mr. Charles Valentine",male,29.0,26.0,S
2,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,26.0,S
2,0,"Coleridge, Mr. Reginald Charles",male,29.0,10.5,S
2,0,"Collander, Mr. Erik Gustaf",male,28.0,13.0,S
2,1,"Collett, Mr. Sidney C Stuart",male,24.0,10.5,S
2,1,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,26.25,S
2,0,"Collyer, Mr. Harvey",male,31.0,26.25,S
